========================================================================
LOG: verify_migration
STARTED: Tue Apr 15 16:19:15 MDT 2025
USER: patricksmith
PID: 80205
========================================================================

[2025-04-15 16:19:15] [INFO] Starting script: verify_migration
[2025-04-15 16:19:15] [INFO] Description: Migration Verification
[2025-04-15 16:19:15] [INFO] Validated directory: /Users/patricksmith/obsidian/acupcakeshop
[2025-04-15 16:19:15] [INFO] Validated directory: /Users/patricksmith/obsidian/acupcakeshop/_utilities
[2025-04-15 16:19:15] [INFO] Validated directory: /Users/patricksmith/obsidian/acupcakeshop/_utilities/scripts
[2025-04-15 16:19:15] [INFO] Starting migration verification...
[2025-04-15 16:19:15] [INFO] Checking for unmigrated content...
[2025-04-15 16:19:15] [INFO] Creating inventory of original markdown files...
[2025-04-15 16:19:15] [INFO] Found 435 original markdown files
[2025-04-15 16:19:15] [INFO] Found 363 migrated source files
[2025-04-15 16:19:15] [WARNING] Found 73 unmigrated files
[2025-04-15 16:19:15] [INFO] Checking for broken links in migrated content...
[2025-04-15 16:19:15] [INFO] Checking links in: /Users/patricksmith/obsidian/acupcakeshop/content
[2025-04-15 16:19:15] [INFO] Checking links in: /Users/patricksmith/obsidian/acupcakeshop/resources
[2025-04-15 16:19:16] [INFO] Checking links in: /Users/patricksmith/obsidian/acupcakeshop/atlas
[2025-04-15 16:19:16] [INFO] Checking links in: /Users/patricksmith/obsidian/acupcakeshop/docs
[2025-04-15 16:19:16] [WARNING] Found 262 broken links
[2025-04-15 16:19:16] [INFO] Checking frontmatter standardization...
[2025-04-15 16:19:16] [INFO] Checking frontmatter in: /Users/patricksmith/obsidian/acupcakeshop/content
[2025-04-15 16:19:16] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/misc/aum-based-model.md
[2025-04-15 16:19:16] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/misc/trust-framework-in-advisory-relationships.md
[2025-04-15 16:19:16] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/misc/athlete-risk-factors.md
[2025-04-15 16:19:16] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/misc/risk-assessment-framework.md
[2025-04-15 16:19:16] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/misc/red-flags-in-advisory-relationships.md
[2025-04-15 16:19:16] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/misc/career-stage-risk-variables.md
[2025-04-15 16:19:16] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/misc/case-study-nfl-rookie-risk-profile.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/misc/hybrid-service-model.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/misc/fee-only-advisory-model.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/misc/advisor-selection-checklist.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/misc/background-verification-methods.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/Athlete
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/Athlete
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/Athlete
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/research-summary.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/service-model-diagram.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/interview-insights.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-profiles/research-summary.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-profiles/athlete-wealth-partners.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-profiles/advisors/research-summary.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-profiles/advisors/README.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-profiles/agents/kevin-conner.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-profiles/agents/README.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-profiles/README.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-profiles/team-personnel/README.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-profiles/agent-advisor-models.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-profiles/integra-wealth.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-profiles/ubs-mainsail.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/education/README.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/agents/kevin-conner.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/Athlete
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/market-analysis/service-gaps.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/market-analysis/README.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/market-analysis/athlete-financial-needs.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/market-analysis/market-size.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/kevin-conner.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/README.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-analysis/institutional-firms/README.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-analysis/README.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-analysis/boutique-firms/README.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-analysis/agent-advisor-models.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/industry-analysis/service-models.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/industry-analysis/fee-structures.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/industry-analysis/service-model-comparison-matrix.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/industry-analysis/README.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-positioning-diagram.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/market-trends/README.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/agent-advisor-models.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/registration/requirements.md
[2025-04-15 16:19:17] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/registration/maintenance-requirements.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/registration/README.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/registration/application-process.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/advisory-board-research.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/advisory-board/governance-structure.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/advisory-board/candidate-research.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/advisory-board/README.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/advisory-board/board-requirements.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/registration-requirements.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/Athlete
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/Athlete
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/README.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/standards/fiduciary-requirements.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/standards/recordkeeping-requirements.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/standards/README.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/standards/disclosure-requirements.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/-.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/campbell-lamar.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/misc/financial-risk-perceptions.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/jenkins-john-raiders-defensive-tackle.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/players/jenkins-john-raiders.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/players/smith-roquan-ravens.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/players/README.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/players/johnson-jaylen-bears.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/players/.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/players/active/2025/04_april/jenkins-john-raiders-defensive-tackle.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/players/active/2025/04_april/2025-04-06-jenkins-john-raiders-defensive-tackle.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/players/active/2025/04_april/2025-04-06-smith-roquan-ravens-linebacker.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/players/active/2025/04_april/2025-04-06-oconnell-aidan-raiders-quarterback.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/players/active/2025/04_april/2025-04-06-johnson-jaylen-bears-safety.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/players/active/2025/04_april/johnson-jaylen-bears-safety.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/players/active/2025/04_april/smith-roquan-ravens-linebacker.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/players/active/2025/04_april/oconnell-aidan-raiders-quarterback.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/players/active/jenkins-john-raiders-defensive-tackle.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/players/active/smith-roquan-advisory-preferences.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/players/active/smith-roquan.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/players/active/README.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/players/active/johnson-jaylen-bears-safety.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/players/active/harris-chris-post-career-advisory-needs.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/players/active/smith-roquan-ravens-linebacker.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/players/active/oconnell-aidan-raiders-quarterback.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/players/former/README.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/players/oconnell-aidan-raiders.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/nelson-daryl.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/lynn-nicole.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/conner-kevin.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/agents/2025/04_april/lynn-nicole-klutch-agent.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/agents/2025/04_april/conner-kevin-universal-agent.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/agents/lynn-nicole.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/agents/conner-kevin.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/agents/README.md
[2025-04-15 16:19:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/Athlete
[2025-04-15 16:19:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/README.md
[2025-04-15 16:19:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/industry-professionals/-.md
[2025-04-15 16:19:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/industry-professionals/campbell-lamar.md
[2025-04-15 16:19:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/industry-professionals/2025/04_april/nelson-daryl-financial-advisor.md
[2025-04-15 16:19:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/industry-professionals/2025/04_april/campbell-lamar-financial-advisor.md
[2025-04-15 16:19:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/industry-professionals/nelson-daryl.md
[2025-04-15 16:19:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/industry-professionals/agents/README.md
[2025-04-15 16:19:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/industry-professionals/by-role/agents/lynn-nicole.md
[2025-04-15 16:19:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/industry-professionals/by-role/agents/conner-kevin.md
